PESEL;Name;Surname;Date_of_birth;Sex;Driv_licence_number;Phone_number;Email;Address;City
69090873278;Krzysztof;Piotrowski;08.09.1969;male;B751000;596810446;Krzysztof.Piotrowski69@gmail.com;S³oneczna 243/96;Kraków
66053085404;Bartosz;Kowalczyk;30.05.1966;female;L374578;630280445;Bartosz.Kowalczyk66@gmail.com;Grunwaldzka 258/28;Kraków
74080576261;Tomasz;Sobczak;05.08.1974;female;M634580;707355153;Tomasz.Sobczak74@gmail.com;Opolska 64/10;Bydgoszcz
99052334171;Bartosz;Szymczak;23.05.1999;male;U573761;328294900;Bartosz.Szymczak99@tlen.com;Leœna 234/54;I³awa
86070142313;Adam;Urbañska;01.07.1986;male;C853328;807874849;Adam.Urbañska86@gmail.com;Kwiatowa 296/31;Rzeszów
57012669219;Dariusz;Ostrowski;26.01.1957;male;A215663;868344510;Dariusz.Ostrowski57@wp.com;Mazowiecka 27/33;Gdañsk
82073168741;Krzysztof;Adamska;31.07.1982;female;C128824;388402165;Krzysztof.Adamska82@o2.com;Mazowiecka 158/58;Kielce
87091720253;Jan;Lewandowski;17.09.1987;male;D716258;762568843;Jan.Lewandowski87@o2.com;Krótka 127/54;Gdañsk
67081776143;Aleksander;Walczak;17.08.1967;female;W909964;906732553;Aleksander.Walczak67@wp.com;Armii Krajowej 275/56;Kraków
68082405650;Adam;Czarnecki;24.08.1968;male;R580444;289953992;Adam.Czarnecki68@o2.com;Parkowa 293/20;£ódŸ
52061582034;Krzysztof;Urbañska;15.06.1952;male;E144170;367019087;Krzysztof.Urbañska52@o2.com;Kwiatowa 154/77;Warszawa
73120974293;Micha³;Szczepañski;09.12.1973;male;N149737;302000589;Micha³.Szczepañski73@wp.com;Ogrodowa 269/11;Malbork
98031797791;Tomasz;Walczak;17.03.1998;male;R129697;842942539;Tomasz.Walczak98@o2.com;S³oneczna 44/23;Rzeszów
65061883692;Piotr;Sadowska;18.06.1965;male;A729902;801057430;Piotr.Sadowska65@wp.com;Grunwaldzka 95/64;I³awa
98102757618;Krzysztof;Sikora;27.10.1998;male;S564441;341745506;Krzysztof.Sikora98@wp.com;Grunwaldzka 223/33;Opole
74122757104;Tomasz;Adamska;27.12.1974;female;Y304288;478464011;Tomasz.Adamska74@wp.com;£akowa 75/71;Malbork
77021489006;Marcin;Krawczyk;14.02.1977;female;U748095;466426813;Marcin.Krawczyk77@wp.com;Krótka 57/92;Suwa³ki
83070843146;Piotr;Górski;08.07.1983;female;V938441;361330376;Piotr.Górski83@o2.com;Karciana 206/51;£ódŸ
74100591543;Grzegorz;Piotrowki;05.10.1974;female;J909975;526879798;Grzegorz.Piotrowki74@tlen.com;S³oneczna 124/62;Zakopane
